index	prediction
0	entailment
1	not entailment
2	not entailment
3	not entailment
4	entailment
5	entailment
6	entailment
7	not entailment
8	entailment
9	not entailment
10	not entailment
11	not entailment
12	not entailment
13	not entailment
14	not entailment
15	not entailment
16	not entailment
17	not entailment
18	not entailment
19	not entailment
20	entailment
21	not entailment
22	not entailment
23	not entailment
24	entailment
25	not entailment
26	not entailment
27	not entailment
28	not entailment
29	not entailment
30	entailment
31	not entailment
32	not entailment
33	entailment
34	entailment
35	entailment
36	entailment
37	not entailment
38	entailment
39	not entailment
40	not entailment
41	not entailment
42	not entailment
43	not entailment
44	not entailment
45	not entailment
46	not entailment
47	entailment
48	not entailment
49	not entailment
50	not entailment
51	not entailment
52	entailment
53	not entailment
54	not entailment
55	not entailment
56	not entailment
57	not entailment
58	not entailment
59	entailment
60	not entailment
61	not entailment
62	not entailment
63	not entailment
64	not entailment
65	entailment
66	not entailment
67	entailment
68	not entailment
69	not entailment
70	not entailment
71	not entailment
72	not entailment
73	not entailment
74	not entailment
75	not entailment
76	entailment
77	entailment
78	not entailment
79	not entailment
80	not entailment
81	not entailment
82	not entailment
83	not entailment
84	not entailment
85	not entailment
86	not entailment
87	not entailment
88	not entailment
89	not entailment
90	not entailment
91	entailment
92	not entailment
93	not entailment
94	not entailment
95	not entailment
96	not entailment
97	not entailment
98	not entailment
99	entailment
100	not entailment
101	entailment
102	not entailment
103	entailment
104	not entailment
105	entailment
106	not entailment
107	entailment
108	not entailment
109	not entailment
110	not entailment
111	not entailment
112	entailment
113	not entailment
114	not entailment
115	not entailment
116	not entailment
117	entailment
118	entailment
119	not entailment
120	not entailment
121	not entailment
122	entailment
123	not entailment
124	not entailment
125	not entailment
126	not entailment
127	not entailment
128	not entailment
129	not entailment
130	entailment
131	not entailment
132	not entailment
133	not entailment
134	not entailment
135	entailment
136	not entailment
137	not entailment
138	not entailment
139	entailment
140	not entailment
141	entailment
142	not entailment
143	not entailment
144	not entailment
145	not entailment
146	not entailment
147	not entailment
148	not entailment
149	not entailment
150	not entailment
151	not entailment
152	not entailment
153	not entailment
154	not entailment
155	not entailment
156	entailment
157	not entailment
158	not entailment
159	not entailment
160	not entailment
161	not entailment
162	entailment
163	entailment
164	not entailment
165	not entailment
166	not entailment
167	not entailment
168	not entailment
169	not entailment
170	not entailment
171	not entailment
172	not entailment
173	entailment
174	entailment
175	entailment
176	not entailment
177	not entailment
178	not entailment
179	not entailment
180	not entailment
181	not entailment
182	not entailment
183	not entailment
184	not entailment
185	not entailment
186	not entailment
187	entailment
188	not entailment
189	entailment
190	not entailment
191	not entailment
192	not entailment
193	not entailment
194	not entailment
195	not entailment
196	not entailment
197	not entailment
198	not entailment
199	entailment
200	not entailment
201	not entailment
202	not entailment
203	entailment
204	not entailment
205	entailment
206	entailment
207	entailment
208	entailment
209	entailment
210	entailment
211	entailment
212	entailment
213	entailment
214	not entailment
215	entailment
216	entailment
217	entailment
218	entailment
219	entailment
220	not entailment
221	entailment
222	entailment
223	entailment
224	not entailment
225	not entailment
226	not entailment
227	entailment
228	entailment
229	entailment
230	not entailment
231	entailment
232	entailment
233	entailment
234	not entailment
235	entailment
236	entailment
237	entailment
238	not entailment
239	not entailment
240	not entailment
241	not entailment
242	not entailment
243	not entailment
244	entailment
245	not entailment
246	entailment
247	not entailment
248	entailment
249	entailment
250	entailment
251	entailment
252	entailment
253	not entailment
254	entailment
255	not entailment
256	entailment
257	entailment
258	entailment
259	entailment
260	entailment
261	not entailment
262	not entailment
263	not entailment
264	entailment
265	entailment
266	entailment
267	not entailment
268	entailment
269	entailment
270	entailment
271	entailment
272	not entailment
273	entailment
274	entailment
275	entailment
276	not entailment
277	entailment
278	entailment
279	entailment
280	not entailment
281	not entailment
282	entailment
283	entailment
284	entailment
285	not entailment
286	not entailment
287	entailment
288	not entailment
289	not entailment
290	entailment
291	entailment
292	not entailment
293	not entailment
294	not entailment
295	entailment
296	entailment
297	not entailment
298	not entailment
299	entailment
300	entailment
301	entailment
302	entailment
303	entailment
304	entailment
305	entailment
306	entailment
307	not entailment
308	entailment
309	entailment
310	not entailment
311	entailment
312	entailment
313	not entailment
314	entailment
315	not entailment
316	entailment
317	not entailment
318	entailment
319	entailment
320	entailment
321	not entailment
322	not entailment
323	entailment
324	entailment
325	entailment
326	not entailment
327	entailment
328	not entailment
329	entailment
330	entailment
331	entailment
332	entailment
333	entailment
334	entailment
335	entailment
336	entailment
337	not entailment
338	entailment
339	entailment
340	not entailment
341	entailment
342	entailment
343	not entailment
344	entailment
345	not entailment
346	entailment
347	entailment
348	entailment
349	not entailment
350	not entailment
351	entailment
352	entailment
353	not entailment
354	entailment
355	not entailment
356	entailment
357	entailment
358	entailment
359	entailment
360	entailment
361	entailment
362	entailment
363	entailment
364	entailment
365	not entailment
366	entailment
367	not entailment
368	entailment
369	entailment
370	entailment
371	not entailment
372	not entailment
373	entailment
374	not entailment
375	entailment
376	not entailment
377	entailment
378	not entailment
379	not entailment
380	entailment
381	entailment
382	entailment
383	entailment
384	not entailment
385	entailment
386	entailment
387	not entailment
388	entailment
389	entailment
390	not entailment
391	entailment
392	not entailment
393	entailment
394	not entailment
395	not entailment
396	not entailment
397	not entailment
398	entailment
399	entailment
400	not entailment
401	entailment
402	not entailment
403	entailment
404	not entailment
405	not entailment
406	not entailment
407	not entailment
408	not entailment
409	not entailment
410	not entailment
411	not entailment
412	not entailment
413	not entailment
414	not entailment
415	not entailment
416	entailment
417	not entailment
418	not entailment
419	not entailment
420	not entailment
421	entailment
422	not entailment
423	not entailment
424	not entailment
425	not entailment
426	not entailment
427	not entailment
428	entailment
429	not entailment
430	not entailment
431	not entailment
432	not entailment
433	not entailment
434	not entailment
435	entailment
436	entailment
437	not entailment
438	entailment
439	not entailment
440	not entailment
441	not entailment
442	not entailment
443	not entailment
444	entailment
445	not entailment
446	not entailment
447	not entailment
448	not entailment
449	not entailment
450	not entailment
451	not entailment
452	not entailment
453	not entailment
