index	prediction
0	3.672
1	4.690
2	4.621
3	2.444
4	1.964
5	4.571
6	1.948
7	2.403
8	2.297
9	0.772
10	1.772
11	2.609
12	4.574
13	3.688
14	4.327
15	0.770
16	2.122
17	0.624
18	3.803
19	4.746
20	1.731
21	2.882
22	1.334
23	2.186
24	1.909
25	3.364
26	4.111
27	4.784
28	2.396
29	4.347
30	3.300
31	0.291
32	0.668
33	3.537
34	4.522
35	0.969
36	3.974
37	3.188
38	3.614
39	0.153
40	1.818
41	0.385
42	0.246
43	0.806
44	4.007
45	2.941
46	0.809
47	1.768
48	0.222
49	0.281
50	1.638
51	0.026
52	3.898
53	1.065
54	3.778
55	1.490
56	4.725
57	0.098
58	3.222
59	0.775
60	3.295
61	0.406
62	0.093
63	3.711
64	-0.002
65	4.161
66	3.805
67	4.198
68	0.125
69	3.786
70	3.055
71	0.042
72	0.608
73	0.038
74	4.617
75	2.538
76	0.578
77	0.641
78	3.119
79	1.640
80	0.805
81	1.343
82	2.688
83	4.590
84	3.575
85	1.956
86	0.938
87	3.924
88	0.969
89	3.906
90	3.115
91	3.085
92	4.352
93	3.873
94	3.328
95	3.573
96	0.110
97	2.319
98	2.522
99	2.778
100	3.633
101	2.757
102	0.016
103	2.453
104	2.718
105	3.661
106	2.929
107	3.953
108	3.116
109	4.022
110	0.002
111	0.047
112	4.043
113	3.284
114	0.107
115	0.852
116	1.446
117	0.119
118	0.190
119	0.625
120	0.021
121	4.597
122	0.283
123	2.349
124	4.138
125	3.932
126	4.740
127	2.315
128	3.552
129	4.724
130	4.261
131	4.129
132	2.478
133	1.937
134	4.700
135	4.188
136	4.481
137	4.748
138	1.929
139	1.695
140	2.607
141	2.650
142	2.286
143	0.218
144	1.798
145	1.846
146	3.660
147	3.415
148	3.866
149	4.595
150	0.148
151	1.224
152	3.731
153	1.443
154	2.457
155	1.260
156	3.335
157	4.322
158	4.197
159	4.743
160	3.860
161	3.844
162	3.574
163	2.291
164	0.537
165	4.303
166	1.715
167	2.680
168	3.249
169	3.742
170	3.957
171	0.061
172	0.014
173	0.027
174	3.381
175	3.762
176	0.808
177	2.610
178	0.021
179	-0.000
180	0.406
181	0.879
182	0.254
183	3.802
184	3.986
185	1.644
186	2.654
187	3.616
188	3.808
189	3.674
190	2.390
191	0.011
192	2.985
193	0.457
194	0.783
195	0.405
196	0.373
197	0.286
198	1.058
199	3.868
200	-0.000
201	1.102
202	2.095
203	1.517
204	0.367
205	0.206
206	0.168
207	2.468
208	2.258
209	2.776
210	4.133
211	3.977
212	2.295
213	0.277
214	0.151
215	0.543
216	2.589
217	0.010
218	0.063
219	3.305
220	1.539
221	0.234
222	1.066
223	0.197
224	0.050
225	4.760
226	2.703
227	4.009
228	1.887
229	0.022
230	0.085
231	0.316
232	0.041
233	2.916
234	0.128
235	0.112
236	0.067
237	3.621
238	0.222
239	3.831
240	3.559
241	0.066
242	0.446
243	3.628
244	4.400
245	3.729
246	3.494
247	0.497
248	3.912
249	0.528
250	3.792
251	3.291
252	0.157
253	4.771
254	3.716
255	4.161
256	4.457
257	2.687
258	2.805
259	2.001
260	3.652
261	1.512
262	4.809
263	4.462
264	0.524
265	3.228
266	3.837
267	3.970
268	4.752
269	0.379
270	0.025
271	3.730
272	2.580
273	0.241
274	2.671
275	3.869
276	3.454
277	3.695
278	4.209
279	2.223
280	4.150
281	4.559
282	1.200
283	4.706
284	1.140
285	2.989
286	4.598
287	0.664
288	0.757
289	2.989
290	4.182
291	3.789
292	2.832
293	4.803
294	3.960
295	1.772
296	4.530
297	3.016
298	4.756
299	4.484
300	2.606
301	4.462
302	3.706
303	1.860
304	0.709
305	0.856
306	2.621
307	3.646
308	4.151
309	3.845
310	3.782
311	0.073
312	-0.016
313	3.758
314	2.550
315	3.987
316	2.909
317	3.403
318	0.518
319	3.051
320	4.736
321	4.391
322	3.316
323	4.704
324	4.608
325	4.474
326	3.215
327	3.388
328	2.041
329	3.873
330	2.976
331	0.421
332	0.504
333	3.832
334	4.699
335	4.700
336	1.244
337	3.119
338	0.769
339	4.329
340	0.717
341	3.345
342	0.808
343	3.281
344	3.967
345	0.742
346	4.620
347	2.849
348	0.072
349	2.793
350	4.688
351	1.521
352	4.626
353	4.463
354	4.567
355	2.981
356	3.131
357	4.657
358	0.027
359	0.920
360	4.036
361	4.090
362	4.652
363	3.951
364	4.387
365	0.024
366	0.886
367	1.119
368	4.013
369	2.910
370	0.072
371	1.930
372	2.579
373	3.920
374	4.015
375	2.818
376	0.816
377	3.577
378	3.568
379	3.677
380	2.058
381	3.613
382	2.542
383	4.650
384	3.109
385	0.086
386	2.378
387	3.200
388	0.603
389	0.615
390	3.377
391	3.023
392	2.931
393	1.215
394	2.753
395	4.271
396	3.127
397	4.124
398	0.042
399	3.471
400	1.815
401	3.400
402	4.480
403	1.605
404	4.161
405	1.201
406	1.285
407	0.072
408	4.574
409	3.754
410	3.666
411	4.810
412	1.617
413	4.628
414	1.508
415	3.438
416	3.136
417	0.070
418	4.708
419	3.713
420	4.663
421	1.082
422	4.778
423	0.582
424	4.522
425	0.335
426	3.307
427	3.201
428	4.740
429	3.864
430	4.793
431	1.780
432	3.826
433	0.141
434	3.785
435	3.485
436	0.090
437	2.190
438	3.797
439	1.592
440	2.077
441	4.077
442	3.769
443	0.521
444	0.138
445	4.791
446	2.817
447	2.745
448	4.796
449	2.150
450	2.962
451	0.519
452	2.421
453	-0.006
454	4.355
455	3.502
456	4.202
457	2.683
458	4.596
459	4.842
460	1.048
461	2.517
462	3.979
463	3.528
464	4.485
465	3.893
466	2.901
467	0.202
468	2.835
469	4.746
470	0.701
471	4.695
472	1.469
473	3.960
474	0.479
475	4.481
476	1.449
477	3.111
478	4.575
479	2.587
480	4.403
481	4.528
482	4.090
483	3.624
484	3.427
485	3.680
486	2.611
487	1.028
488	4.706
489	0.961
490	4.804
491	2.527
492	1.823
493	2.013
494	3.604
495	2.033
496	4.765
497	2.187
498	1.070
499	3.582
500	0.183
501	0.663
502	2.485
503	2.196
504	0.832
505	1.717
506	0.538
507	2.341
508	1.994
509	0.941
510	3.742
511	1.142
512	3.535
513	4.199
514	3.772
515	4.690
516	3.105
517	2.259
518	0.259
519	2.162
520	1.232
521	0.128
522	0.325
523	1.032
524	0.912
525	1.239
526	0.842
527	2.869
528	2.077
529	2.203
530	0.155
531	3.520
532	2.080
533	3.059
534	3.834
535	3.517
536	4.687
537	0.517
538	3.046
539	3.215
540	3.765
541	1.858
542	3.308
543	2.853
544	2.339
545	3.898
546	3.161
547	1.623
548	4.705
549	2.697
550	2.824
551	0.274
552	2.793
553	2.806
554	1.765
555	3.101
556	4.619
557	3.936
558	0.499
559	2.887
560	2.251
561	1.503
562	0.103
563	3.069
564	4.188
565	0.912
566	4.727
567	3.149
568	2.674
569	2.365
570	2.253
571	3.452
572	3.333
573	1.616
574	2.192
575	3.637
