index	prediction
0	contradiction
1	entailment
2	contradiction
3	entailment
4	entailment
5	contradiction
6	contradiction
7	entailment
8	neutral
9	contradiction
10	contradiction
11	neutral
12	contradiction
13	neutral
14	neutral
15	contradiction
16	neutral
17	entailment
18	contradiction
19	contradiction
20	neutral
21	entailment
22	contradiction
23	neutral
24	neutral
25	entailment
26	entailment
27	neutral
28	neutral
29	contradiction
30	neutral
31	entailment
32	contradiction
33	entailment
34	contradiction
35	contradiction
36	neutral
37	contradiction
38	neutral
39	neutral
40	entailment
41	entailment
42	contradiction
43	entailment
44	neutral
45	neutral
46	neutral
47	contradiction
48	entailment
49	neutral
50	neutral
51	neutral
52	entailment
53	neutral
54	entailment
55	neutral
56	neutral
57	neutral
58	neutral
59	contradiction
60	neutral
61	entailment
62	neutral
63	neutral
64	entailment
65	contradiction
66	neutral
67	entailment
68	neutral
69	neutral
70	neutral
71	contradiction
72	contradiction
73	neutral
74	entailment
75	neutral
76	neutral
77	entailment
78	neutral
79	neutral
80	entailment
81	entailment
82	neutral
83	neutral
84	neutral
85	neutral
86	contradiction
87	contradiction
88	contradiction
89	contradiction
90	neutral
91	contradiction
92	entailment
93	neutral
94	contradiction
95	neutral
96	entailment
97	contradiction
98	entailment
99	contradiction
100	neutral
101	entailment
102	entailment
103	contradiction
104	neutral
105	neutral
106	entailment
107	contradiction
108	neutral
109	entailment
110	contradiction
111	neutral
112	contradiction
113	entailment
114	contradiction
115	entailment
116	neutral
117	neutral
118	contradiction
119	entailment
120	contradiction
121	entailment
122	contradiction
123	contradiction
124	contradiction
125	contradiction
126	contradiction
127	neutral
128	neutral
129	contradiction
130	neutral
131	neutral
132	neutral
133	contradiction
134	entailment
135	neutral
136	entailment
137	contradiction
138	neutral
139	neutral
140	entailment
141	contradiction
142	contradiction
143	entailment
144	entailment
145	entailment
146	contradiction
147	contradiction
148	entailment
149	neutral
150	neutral
151	neutral
152	entailment
153	contradiction
154	neutral
155	entailment
156	entailment
157	contradiction
158	neutral
159	contradiction
160	neutral
161	neutral
162	neutral
163	entailment
164	neutral
165	entailment
166	neutral
167	entailment
168	neutral
169	entailment
170	contradiction
171	neutral
172	entailment
173	neutral
174	entailment
175	neutral
176	contradiction
177	contradiction
178	contradiction
179	contradiction
180	entailment
181	contradiction
182	neutral
183	entailment
184	contradiction
185	neutral
186	neutral
187	entailment
188	contradiction
189	contradiction
190	neutral
191	entailment
192	contradiction
193	neutral
194	neutral
195	contradiction
196	neutral
197	neutral
198	contradiction
199	entailment
200	neutral
201	contradiction
202	neutral
203	entailment
204	neutral
205	contradiction
206	neutral
207	contradiction
208	entailment
209	neutral
210	contradiction
211	contradiction
212	entailment
213	entailment
214	neutral
215	contradiction
216	contradiction
217	entailment
218	neutral
219	contradiction
220	entailment
221	neutral
222	neutral
223	contradiction
224	neutral
225	contradiction
226	neutral
227	neutral
228	neutral
229	neutral
230	neutral
231	neutral
232	entailment
233	neutral
234	contradiction
235	neutral
236	contradiction
237	contradiction
238	contradiction
239	neutral
240	neutral
241	entailment
242	contradiction
243	neutral
244	entailment
245	neutral
246	neutral
247	entailment
248	contradiction
249	contradiction
250	neutral
251	entailment
252	entailment
253	entailment
254	contradiction
255	neutral
256	entailment
257	contradiction
258	entailment
259	neutral
260	contradiction
261	neutral
262	neutral
263	neutral
264	contradiction
265	neutral
266	entailment
267	neutral
268	contradiction
269	entailment
270	entailment
271	contradiction
272	neutral
273	neutral
274	contradiction
275	contradiction
276	neutral
277	contradiction
278	entailment
279	neutral
280	neutral
281	contradiction
282	neutral
283	contradiction
284	contradiction
285	contradiction
286	entailment
287	entailment
288	contradiction
289	neutral
290	neutral
291	neutral
292	entailment
293	entailment
294	neutral
295	neutral
296	neutral
297	neutral
298	entailment
299	contradiction
300	contradiction
301	entailment
302	entailment
303	entailment
304	contradiction
305	neutral
306	contradiction
307	contradiction
308	entailment
309	contradiction
310	entailment
311	neutral
312	contradiction
313	contradiction
314	contradiction
315	contradiction
316	contradiction
317	neutral
318	entailment
319	neutral
320	entailment
321	contradiction
322	entailment
323	contradiction
324	neutral
325	entailment
326	contradiction
327	neutral
328	contradiction
329	contradiction
330	contradiction
331	entailment
332	neutral
333	entailment
334	contradiction
335	entailment
336	contradiction
337	entailment
338	contradiction
339	entailment
340	neutral
341	contradiction
342	entailment
343	neutral
344	contradiction
345	neutral
346	neutral
347	contradiction
348	neutral
349	neutral
350	entailment
351	neutral
352	entailment
353	neutral
354	neutral
355	neutral
356	entailment
357	contradiction
358	neutral
359	entailment
360	contradiction
361	neutral
362	entailment
363	neutral
364	contradiction
365	contradiction
366	neutral
367	entailment
368	contradiction
369	neutral
370	neutral
371	contradiction
372	contradiction
373	entailment
374	neutral
375	entailment
376	entailment
377	entailment
378	neutral
379	entailment
380	contradiction
381	neutral
382	neutral
383	neutral
384	neutral
385	contradiction
386	contradiction
387	neutral
388	entailment
389	contradiction
390	neutral
391	entailment
392	contradiction
393	contradiction
394	neutral
395	entailment
396	entailment
397	neutral
398	contradiction
399	neutral
400	contradiction
401	contradiction
402	entailment
403	contradiction
404	contradiction
405	entailment
406	neutral
407	contradiction
408	contradiction
409	entailment
410	neutral
411	contradiction
412	neutral
413	entailment
414	contradiction
415	neutral
416	neutral
417	neutral
418	entailment
419	neutral
420	neutral
421	contradiction
422	entailment
423	contradiction
424	contradiction
425	entailment
426	neutral
427	contradiction
428	entailment
429	contradiction
430	contradiction
431	neutral
432	neutral
433	neutral
434	neutral
435	neutral
436	entailment
437	contradiction
438	entailment
439	neutral
440	contradiction
441	entailment
442	neutral
443	contradiction
444	entailment
445	contradiction
446	contradiction
447	neutral
448	neutral
449	neutral
450	neutral
451	entailment
452	neutral
453	neutral
454	contradiction
455	neutral
456	neutral
457	neutral
458	contradiction
459	neutral
460	neutral
461	entailment
462	neutral
463	entailment
464	neutral
465	contradiction
466	contradiction
467	contradiction
468	neutral
469	entailment
470	contradiction
471	contradiction
472	neutral
473	entailment
474	neutral
475	neutral
476	neutral
477	neutral
478	entailment
479	neutral
480	entailment
481	neutral
482	contradiction
483	entailment
484	neutral
485	neutral
486	contradiction
487	entailment
488	neutral
489	neutral
490	neutral
491	contradiction
492	neutral
493	neutral
494	neutral
495	entailment
496	entailment
497	neutral
498	contradiction
499	neutral
500	neutral
501	entailment
502	contradiction
503	entailment
504	contradiction
505	contradiction
506	contradiction
507	neutral
508	contradiction
509	contradiction
510	contradiction
511	contradiction
512	entailment
513	contradiction
514	neutral
515	neutral
516	neutral
517	neutral
518	neutral
519	neutral
520	neutral
521	neutral
522	neutral
523	neutral
524	entailment
525	neutral
526	neutral
527	contradiction
528	contradiction
529	neutral
530	entailment
531	neutral
532	neutral
533	contradiction
534	neutral
535	entailment
536	neutral
537	neutral
538	neutral
539	entailment
540	entailment
541	contradiction
542	entailment
543	neutral
544	neutral
545	entailment
546	neutral
547	contradiction
548	contradiction
549	entailment
550	neutral
551	neutral
552	entailment
553	contradiction
554	entailment
555	contradiction
556	entailment
557	neutral
558	neutral
559	neutral
560	entailment
561	contradiction
562	entailment
563	entailment
564	entailment
565	entailment
566	neutral
567	neutral
568	neutral
569	contradiction
570	entailment
571	contradiction
572	entailment
573	entailment
574	neutral
575	contradiction
576	contradiction
577	neutral
578	entailment
579	contradiction
580	neutral
581	contradiction
582	entailment
583	neutral
584	entailment
585	neutral
586	entailment
587	neutral
588	entailment
589	contradiction
590	neutral
591	neutral
592	contradiction
593	neutral
594	contradiction
595	entailment
596	neutral
597	contradiction
598	entailment
599	contradiction
600	entailment
601	contradiction
602	entailment
603	neutral
604	entailment
605	entailment
606	neutral
607	neutral
608	entailment
609	entailment
610	neutral
611	neutral
612	neutral
613	entailment
614	entailment
615	entailment
616	neutral
617	entailment
618	neutral
619	entailment
620	contradiction
621	entailment
622	neutral
623	neutral
624	entailment
625	neutral
626	neutral
627	contradiction
628	entailment
629	contradiction
630	entailment
631	contradiction
632	contradiction
633	contradiction
634	neutral
635	entailment
636	contradiction
637	entailment
638	neutral
639	entailment
640	neutral
641	contradiction
642	neutral
643	entailment
644	contradiction
645	neutral
646	contradiction
647	entailment
648	contradiction
649	entailment
650	contradiction
651	entailment
652	neutral
653	entailment
654	neutral
655	contradiction
656	entailment
657	neutral
658	entailment
659	contradiction
660	entailment
661	neutral
662	entailment
663	entailment
664	neutral
665	contradiction
666	contradiction
667	neutral
668	entailment
669	contradiction
670	contradiction
671	neutral
672	neutral
673	entailment
674	neutral
675	neutral
676	entailment
677	contradiction
678	contradiction
679	neutral
680	entailment
681	entailment
682	neutral
683	entailment
684	neutral
685	entailment
686	neutral
687	contradiction
688	entailment
689	contradiction
690	entailment
691	neutral
692	contradiction
693	entailment
694	neutral
695	contradiction
696	entailment
697	contradiction
698	neutral
699	entailment
700	contradiction
701	neutral
702	neutral
703	contradiction
704	neutral
705	neutral
706	entailment
707	contradiction
708	neutral
709	contradiction
710	neutral
711	entailment
712	neutral
713	contradiction
714	contradiction
715	entailment
716	contradiction
717	neutral
718	entailment
719	neutral
720	contradiction
721	contradiction
722	entailment
723	neutral
724	neutral
725	neutral
726	neutral
727	neutral
728	entailment
