index	prediction
0	0
1	0
2	0
3	0
4	1
5	1
6	1
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	1
19	1
20	0
21	0
22	0
23	1
24	0
25	1
26	0
27	1
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	1
38	0
39	1
40	0
41	0
42	0
43	0
44	1
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	1
56	1
57	1
58	0
59	0
60	1
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	1
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	1
78	1
79	1
80	0
81	0
82	0
83	0
84	1
85	0
86	0
87	1
88	0
89	0
90	1
91	0
92	1
93	1
94	1
95	1
96	1
97	1
98	0
99	0
100	1
101	0
102	0
103	0
104	0
105	0
106	0
107	1
108	0
109	1
110	0
111	0
112	0
113	1
114	0
115	0
116	1
117	0
118	1
119	0
120	1
121	1
122	1
123	0
124	1
125	1
126	1
127	0
128	0
129	0
130	1
131	0
132	0
133	0
134	0
135	1
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	1
145	0
146	0
147	0
148	0
149	0
150	0
151	1
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	1
165	0
166	1
167	1
168	1
169	1
170	1
171	1
172	1
173	0
174	0
175	0
176	0
177	0
178	1
179	0
180	0
181	0
182	0
183	0
184	1
185	0
186	0
187	0
188	0
189	1
190	0
191	0
192	0
193	0
194	0
195	1
196	0
197	1
198	0
199	0
200	0
201	0
202	1
203	0
204	0
205	0
206	0
207	0
208	0
209	0
210	0
211	1
212	0
213	1
214	0
215	0
216	1
217	1
218	0
219	0
220	1
221	0
222	0
223	1
224	0
225	0
226	1
227	0
228	0
229	1
230	0
231	0
232	0
233	0
234	0
235	0
236	0
237	1
238	0
239	0
240	1
241	0
242	0
243	0
244	0
245	0
246	1
247	0
248	0
249	0
250	0
251	0
252	0
253	1
254	0
255	0
256	0
257	0
258	0
259	1
260	1
261	0
262	0
263	0
264	0
265	0
266	0
267	1
268	0
269	0
270	0
271	0
272	1
273	0
274	0
275	1
276	1
277	1
278	1
279	0
280	0
281	0
282	0
283	1
284	0
285	0
286	1
287	0
288	0
289	0
290	0
291	1
292	1
293	0
294	0
295	0
296	0
297	0
298	1
299	0
300	0
301	1
302	0
303	1
304	0
305	0
306	1
307	1
308	0
309	0
310	0
311	0
312	1
313	0
314	0
315	0
316	0
317	0
318	0
319	0
320	1
321	1
322	0
323	0
324	1
325	1
326	0
327	0
328	0
329	0
330	0
331	0
332	0
333	0
334	0
335	0
336	0
337	0
338	1
339	0
340	0
341	0
342	0
343	0
344	0
345	0
346	0
347	0
348	0
349	0
350	0
351	0
352	0
353	0
354	0
355	0
356	1
357	1
358	1
359	1
360	0
361	1
362	0
363	0
364	1
365	0
366	0
367	1
368	1
369	1
370	0
371	0
372	0
373	0
374	0
375	0
376	0
377	1
378	0
379	0
380	1
381	0
382	0
383	1
384	0
385	0
386	0
387	1
388	0
389	0
390	0
391	0
392	0
393	0
394	1
395	1
396	1
397	0
398	0
399	1
400	1
401	1
402	0
403	1
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	1
418	1
419	1
420	0
421	0
422	0
423	1
424	0
425	0
426	1
427	0
428	1
429	0
430	0
431	0
432	0
433	0
434	1
435	0
436	0
437	0
438	0
439	0
440	1
441	0
442	0
443	0
444	0
445	1
446	0
447	0
448	0
449	1
450	0
451	0
452	0
453	0
454	0
455	1
456	0
457	0
458	0
459	1
460	0
461	0
462	0
463	0
464	0
465	0
466	1
467	1
468	0
469	1
470	1
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	1
484	1
485	0
486	0
487	0
488	0
489	0
490	0
491	1
492	0
493	1
494	0
495	0
496	0
497	0
498	1
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	1
508	0
509	0
510	0
511	0
512	0
513	0
514	0
515	0
516	0
517	0
518	0
519	1
520	1
521	0
522	0
523	1
524	1
525	0
526	0
527	0
528	0
529	1
530	0
531	1
